ID,Sex,Marital status,Age,Education,Income,Occupation,Settlement size
100000001,0,1,69,1,132517,1,1
100000002,0,0,42,1,55560,0,1
100000003,1,0,42,3,115802,1,0
100000004,0,0,37,2,69573,1,0
100000005,0,0,46,2,125922,1,1
100000006,1,0,31,1,51261,0,2
100000007,0,0,44,1,56854,0,1
100000008,0,0,33,2,89562,1,0
100000009,1,0,31,1,79060,0,2
100000010,1,0,38,0,26858,0,0
100000011,0,0,36,2,92843,1,0
100000012,1,0,18,1,60616,0,1
100000013,1,1,61,2,122430,1,1
100000014,0,0,38,2,84744,1,0
100000015,0,0,18,1,79338,1,1
100000016,1,1,49,2,148831,2,1
100000017,1,1,36,1,112791,1,0
100000018,1,0,39,2,131350,1,2
100000019,1,1,45,3,99895,1,1
100000020,1,1,26,2,105139,1,0
100000021,1,1,18,0,64922,1,0
100000022,0,0,35,0,67974,1,0
100000023,1,1,39,2,114851,1,1
100000024,0,0,49,2,129085,1,1
100000025,0,1,27,0,33482,0,0
100000026,1,0,33,0,44210,1,0
100000027,0,0,41,1,67675,0,1
100000028,1,0,33,2,117729,1,2
100000029,1,0,34,0,42747,0,1
100000030,0,0,40,1,73236,1,0
100000031,0,0,25,2,75313,1,1
100000032,0,1,56,3,149302,1,2
100000033,0,0,25,1,51152,0,2
100000034,1,0,37,0,42236,0,0
100000035,0,0,33,0,67541,1,2
100000036,0,1,28,2,127040,2,0
100000037,1,1,43,1,79787,0,0
100000038,0,0,49,3,153419,1,0
100000039,1,1,54,3,141766,2,1
100000040,0,1,43,3,100872,1,0
100000041,0,1,31,1,59434,0,0
100000042,0,1,47,1,56349,0,1
100000043,0,0,19,0,59759,1,2
100000044,0,0,37,2,133273,2,1
100000045,1,0,43,1,81969,0,2
100000046,1,1,43,2,112584,1,0
100000047,0,0,23,1,38361,0,0
100000048,0,1,18,0,43378,1,0
100000049,0,1,56,2,108619,1,0
100000050,1,1,30,2,110034,1,1
100000051,0,0,18,0,66348,1,0
100000052,1,0,21,1,65254,0,0
100000053,0,1,36,1,61174,0,0
100000054,0,0,50,2,131314,2,2
100000055,1,0,36,0,74554,1,2
100000056,1,0,51,3,137713,1,2
100000057,0,0,39,2,90562,1,2
100000058,0,0,42,2,85818,1,0
100000059,0,0,48,3,101882,1,1
100000060,0,1,32,0,45630,0,0
100000061,0,0,40,1,66010,0,0
100000062,1,1,31,1,42182,0,0
100000063,0,0,28,1,67121,0,0
100000064,0,1,44,2,118363,1,2
100000065,1,0,26,1,57767,0,1
100000066,0,0,37,2,121110,1,2
100000067,0,0,27,2,100325,1,1
100000068,1,0,35,2,78436,1,0
100000069,1,0,30,2,88045,1,1
100000070,0,1,49,1,57190,0,1
100000071,1,0,37,1,77305,0,1
100000072,0,1,37,2,93807,1,0
100000073,0,1,56,3,154794,1,2
100000074,0,1,18,1,34903,0,0
100000075,0,0,22,0,20000,0,0
100000076,1,1,18,0,54381,0,1
100000077,0,1,36,1,107701,1,2
100000078,1,1,41,2,77423,1,0
100000079,0,1,43,3,146536,1,2
100000080,0,0,39,1,71556,1,0
100000081,0,0,25,0,65750,0,1
100000082,1,1,57,1,99664,0,2
100000083,1,1,39,2,108123,2,0
100000084,0,1,32,0,53929,0,2
100000085,0,1,22,0,38957,0,1
100000086,0,0,41,2,71786,1,2
100000087,1,1,30,1,100574,1,2
100000088,0,0,30,1,50284,0,0
100000089,0,0,38,1,72094,0,0
100000090,0,1,38,1,28111,0,1
100000091,0,1,26,1,61901,0,0
100000092,1,1,50,2,106165,1,0
100000093,1,0,23,0,33790,0,2
100000094,1,0,22,1,92997,0,2
100000095,1,0,39,2,116927,1,1
100000096,1,0,37,0,39758,0,1
100000097,1,1,36,2,82903,1,0
100000098,1,1,30,0,56289,0,1
100000099,0,0,36,0,70575,0,0
100000100,1,0,29,2,96551,1,0
100000101,0,1,18,0,39953,0,2
100000102,0,0,44,2,135259,1,1
100000103,1,0,23,1,48587,0,1
100000104,1,1,33,1,96499,1,0
100000105,1,1,44,2,126914,1,2
100000106,0,1,36,1,73881,0,2
100000107,0,1,68,1,92509,0,2
100000108,0,0,18,0,38008,0,2
100000109,1,0,26,0,64351,1,1
100000110,0,0,36,1,115822,1,2
100000111,0,1,51,3,148792,2,1
100000112,0,1,32,1,43721,0,0
100000113,0,1,18,0,77771,1,1
100000114,1,0,49,3,171128,2,2
100000115,1,0,24,1,51388,0,0
100000116,0,0,33,0,76477,0,2
100000117,0,0,46,3,136522,1,2
100000118,0,0,27,2,150161,2,2
100000119,1,0,30,1,61446,0,1
100000120,0,0,41,1,73088,1,0
100000121,0,0,33,1,58984,0,1
100000122,0,0,39,1,63981,0,0
100000123,1,1,24,0,37367,0,0
100000124,1,0,34,2,112921,2,1
100000125,0,0,22,1,56956,0,2
100000126,1,0,18,0,20000,0,0
100000127,0,1,56,2,102862,1,0
100000128,0,0,41,2,122400,1,0
100000129,0,1,46,3,134900,2,0
